Spectrum #,Spectrum ID,Neel,Sarayu,Reagen,Brenda,ra,dec,slit,i_mag,targetnum,name,side
83.0,slitA083_SDSSJ112704.00+422355.4t100875.fits,re-try,0.371?,?,,171.766675,42.398738,458,24.939929962158203,921,SDSSJ112704.00+422355.4,A
83.0,slitA083_SDSSJ112704.00+422355.4t100875.fits,re-try,0.371?,?,,171.766675,42.398738,1016,24.939929962158203,10935,SDSSJ112704.00+422355.4,A
84.0,slitA084_SDSSJ112659.22+422443.0t100876.fits,re-try,0.707?,?,,171.746757,42.411949,492,21.940330505371097,959,SDSSJ112659.22+422443.0,A
84.0,slitA084_SDSSJ112659.22+422443.0t100876.fits,re-try,0.707?,?,,171.746757,42.411949,1050,21.940330505371097,10973,SDSSJ112659.22+422443.0,A
85.0,slitA085_SDSSJ112659.22+422443.0t100877.fits,similar to before,0.707?,?,,171.746757,42.411949,492,21.940330505371097,959,SDSSJ112659.22+422443.0,A
85.0,slitA085_SDSSJ112659.22+422443.0t100877.fits,similar to before,0.707?,?,,171.746757,42.411949,1050,21.940330505371097,10973,SDSSJ112659.22+422443.0,A
86.0,slitA086_SDSSJ112653.52+422540.8t100878.fits,,0.762,?,,171.723006,42.428012,205,22.58917999267578,231,SDSSJ112653.52+422540.8,A
86.0,slitA086_SDSSJ112653.52+422540.8t100878.fits,,0.762,?,,171.723006,42.428012,762,22.58917999267578,10234,SDSSJ112653.52+422540.8,A
87.0,slitA087_SDSSJ112653.52+422540.8t100879.fits,,0.762,?,,171.723006,42.428012,205,22.58917999267578,231,SDSSJ112653.52+422540.8,A
87.0,slitA087_SDSSJ112653.52+422540.8t100879.fits,,0.762,?,,171.723006,42.428012,762,22.58917999267578,10234,SDSSJ112653.52+422540.8,A
88.0,slitA088_SDSSJ112654.60+422513.3t100880.fits,,?,?,,171.727538,42.420364,167,21.436140060424805,192,SDSSJ112654.60+422513.3,A
88.0,slitA088_SDSSJ112654.60+422513.3t100880.fits,,?,?,,171.727538,42.420364,722,21.436140060424805,10193,SDSSJ112654.60+422513.3,A
89.0,slitA089_SDSSJ112654.60+422513.3t100881.fits,,?,?,,171.727538,42.420364,167,21.436140060424805,192,SDSSJ112654.60+422513.3,A
89.0,slitA089_SDSSJ112654.60+422513.3t100881.fits,,?,?,,171.727538,42.420364,722,21.436140060424805,10193,SDSSJ112654.60+422513.3,A
90.0,slitA090_SDSSJ112654.80+422500.7t100882.fits,,?,?,,171.728334,42.416874,161,23.331270217895508,184,SDSSJ112654.80+422500.7,A
90.0,slitA090_SDSSJ112654.80+422500.7t100882.fits,,?,?,,171.728334,42.416874,716,23.331270217895508,10185,SDSSJ112654.80+422500.7,A
91.0,slitA091_SDSSJ112654.80+422500.7t100883.fits,,?,?,,171.728334,42.416874,161,23.331270217895508,184,SDSSJ112654.80+422500.7,A
91.0,slitA091_SDSSJ112654.80+422500.7t100883.fits,,?,?,,171.728334,42.416874,716,23.331270217895508,10185,SDSSJ112654.80+422500.7,A
92.0,slitA092_SDSSJ112701.57+422326.4t100884.fits,,0.406? / 0.3464,0.347,,171.756543,42.390675,494,20.464799880981445,961,SDSSJ112701.57+422326.4,A
92.0,slitA092_SDSSJ112701.57+422326.4t100884.fits,,0.406? / 0.3464,0.347,,171.756543,42.390675,1052,20.464799880981445,10975,SDSSJ112701.57+422326.4,A
93.0,slitA093_SDSSJ112701.57+422326.4t100885.fits,similar to before,0.406? / 0.3464,0.346,,171.756543,42.390675,494,20.464799880981445,961,SDSSJ112701.57+422326.4,A
93.0,slitA093_SDSSJ112701.57+422326.4t100885.fits,similar to before,0.406? / 0.3464,0.346,,171.756543,42.390675,1052,20.464799880981445,10975,SDSSJ112701.57+422326.4,A
94.0,slitA094_SDSSJ112646.07+422622.8t100886.fits,,?,?,,171.691981,42.439677,195,20.92061996459961,221,SDSSJ112646.07+422622.8,A
94.0,slitA094_SDSSJ112646.07+422622.8t100886.fits,,?,?,,171.691981,42.439677,752,20.92061996459961,10224,SDSSJ112646.07+422622.8,A
95.0,slitA095_SDSSJ112646.07+422622.8t100887.fits,,?,?,,171.691981,42.439677,195,20.92061996459961,221,SDSSJ112646.07+422622.8,A
95.0,slitA095_SDSSJ112646.07+422622.8t100887.fits,,?,?,,171.691981,42.439677,752,20.92061996459961,10224,SDSSJ112646.07+422622.8,A
96.0,slitA096_SDSSJ112647.99+422547.7t100888.fits,,?,?,,171.699998,42.429921,200,19.605239868164062,226,SDSSJ112647.99+422547.7,A
96.0,slitA096_SDSSJ112647.99+422547.7t100888.fits,,?,?,,171.699998,42.429921,757,19.605239868164062,10229,SDSSJ112647.99+422547.7,A
97.0,slitA097_SDSSJ112647.99+422547.7t100889.fits,,?,?,,171.699998,42.429921,200,19.605239868164062,226,SDSSJ112647.99+422547.7,A
97.0,slitA097_SDSSJ112647.99+422547.7t100889.fits,,?,?,,171.699998,42.429921,757,19.605239868164062,10229,SDSSJ112647.99+422547.7,A
98.0,slitA098_SDSSJ112705.66+422157.1t100890.fits,,0.2516,0.251,,171.773611,42.365866,443,19.30876922607422,767,SDSSJ112705.66+422157.1,A
